,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,Labeled Class
235,153700,1453.689,524.5832,373.9211,0.7014,0.991,0.7193,1.4029,0.914,0.8433,0.0034,0.0024,0.9977,93.5604,85.7477,89.9195,30.0004,27.9261,30.1835,-0.0107,0.3057,0.1187,2.326,2.5033,2.2966,-13876976640,-11490749440,-12859614208,2
236,165987,1559.245,596.3097,355.5895,0.8027,0.9904,0.6741,1.677,0.8579,0.7709,0.0036,0.0021,0.9967,86.866,75.7861,81.557,23.2889,17.5292,20.2279,-0.3133,0.7759,0.4882,2.7638,6.2666,4.2262,-12248570880,-8850424832,-10523205632,2
237,142413,1438.217,527.6629,346.8893,0.7535,0.9794,0.7121,1.5211,0.8652,0.807,0.0037,0.0024,0.9906,99.3857,93.6736,89.6992,29.2598,25.4742,26.4597,-0.5024,-0.1638,-0.0987,2.4505,2.3521,2.4319,-14408605696,-12457070592,-11494690816,2
238,105070,1210.703,458.1432,293.0307,0.7687,0.9931,0.7731,1.5635,0.9008,0.7983,0.0044,0.0028,0.9965,114.7241,104.4016,99.7833,38.1157,32.1393,31.7317,-0.5697,-0.2742,0.1558,2.4049,2.6186,2.3792,-14994750464,-11969929216,-10921406464,2
239,149806,1435.4399,526.9439,362.1404,0.7264,0.994,0.7497,1.4551,0.9136,0.8288,0.0035,0.0024,0.9995,86.4547,84.1901,86.5173,27.4213,22.9275,23.6478,-0.516,0.3263,0.3548,2.7327,3.492,3.157,-11310804992,-10350289920,-11004194816,2
240,116078,1265.715,452.304,327.0038,0.6909,0.9907,0.7919,1.3832,0.9105,0.85,0.0039,0.0028,0.9993,102.6787,91.7938,97.1706,31.6562,26.2398,30.9115,-0.3334,0.1243,-0.05,2.472,2.9314,2.3204,-12749470720,-9801904128,-11373991936,2
241,131409,1370.5649,500.5441,334.8896,0.7432,0.9845,0.773,1.4947,0.8791,0.8172,0.0038,0.0025,0.9981,107.0578,102.51,101.2176,29.741,25.9342,25.9849,-0.3849,-0.2744,-0.2033,2.5417,2.7433,2.5527,-15499586560,-13863550976,-13512093696,2
242,136187,1410.527,536.2725,323.7206,0.7972,0.9909,0.7169,1.6566,0.8602,0.7765,0.0039,0.0024,0.9988,133.9527,136.4339,117.6208,36.1539,29.2834,26.6625,-1.1898,-1.5608,-0.8164,3.9605,5.9608,3.9635,-26162874368,-26388185088,-19162105856,2
243,163097,1527.1021,569.0895,366.1877,0.7655,0.9885,0.7754,1.5541,0.8789,0.8008,0.0035,0.0022,0.9965,117.9215,116.5512,110.1317,39.1296,37.7421,29.8772,0.0709,0.1504,0.187,1.9378,1.8446,2.2112,-24762406912,-23992227840,-20408354816,2
244,219822,1819.8311,719.0757,392.0395,0.8383,0.9887,0.6801,1.8342,0.8341,0.7357,0.0033,0.0018,0.9928,116.9087,104.9077,105.8488,30.2778,24.2176,21.834,-0.2516,0.2781,0.4566,2.4601,2.4437,3.0428,-31118913536,-24103757824,-24259950592,2
245,164567,1487.1,534.5702,393.8198,0.6762,0.9923,0.8022,1.3574,0.9351,0.8563,0.0032,0.0024,0.9953,91.3863,92.7191,99.0692,28.699,24.5498,25.4002,-0.3171,0.2653,0.1568,2.4141,2.8779,2.5941,-14026025984,-14014118912,-16140537856,2
246,137347,1413.416,538.478,328.7764,0.792,0.9912,0.8289,1.6378,0.864,0.7766,0.0039,0.0024,0.9878,141.5468,141.1918,126.0752,29.0135,16.2099,18.1721,-1.3498,-0.5837,-0.1366,4.3849,3.5771,3.0493,-28723490816,-27570794496,-21692766208,2
248,131633,1361.001,523.6849,320.7245,0.7905,0.9946,0.7173,1.6328,0.893,0.7817,0.004,0.0024,0.9979,140.412,146.1667,120.724,33.2685,26.5972,30.2893,-1.2537,-0.9379,-0.7316,4.0844,3.3333,2.6515,-27505881088,-29232230400,-19893506048,2
249,162413,1540.894,588.4892,352.1533,0.8012,0.9883,0.7888,1.6711,0.8596,0.7727,0.0036,0.0022,0.9978,104.3719,106.077,99.5672,32.3361,29.965,32.7584,-0.0593,0.2299,0.3929,2.4099,2.6886,2.5289,-18525579264,-18846535680,-16949679104,2
250,152861,1474.135,548.472,356.6191,0.7598,0.9832,0.7432,1.538,0.884,0.8044,0.0036,0.0023,0.9951,140.0859,141.3672,112.449,33.8589,27.2044,30.1274,-1.1076,-0.8177,-0.2643,3.4693,2.9983,2.521,-31869728768,-31696930816,-19971598336,2
252,156886,1507.4919,592.6061,338.0879,0.8213,0.993,0.8113,1.7528,0.8675,0.7542,0.0038,0.0022,0.997,112.6683,110.5582,112.6755,26.9942,22.8193,27.6876,-0.5164,-0.0634,-0.2612,2.6686,2.5359,2.4098,-20228263936,-19058726912,-20309366784,2
253,142575,1429.6121,551.2555,331.1201,0.7995,0.9896,0.7905,1.6648,0.8766,0.7729,0.0039,0.0023,0.9945,122.5967,127.4633,116.8129,36.1958,34.146,30.5776,-0.5307,-0.7168,-0.6998,2.3883,2.3417,2.7115,-22939207680,-24542578688,-20170919936,2
254,142214,1424.568,526.2787,345.5464,0.7543,0.9906,0.6836,1.523,0.8806,0.8086,0.0037,0.0024,0.9957,138.2036,141.054,120.0515,34.2693,27.0881,27.5256,-0.9727,-0.5929,-0.2757,3.1515,2.4925,2.3078,-28889290752,-29343639552,-20975187968,2
255,155568,1460.313,532.6481,372.7497,0.7143,0.993,0.7966,1.429,0.9167,0.8356,0.0034,0.0024,0.9976,129.0173,122.4161,126.602,29.2429,25.8179,28.2153,-0.665,-0.252,-0.4096,3.3682,2.8233,2.7539,-26843707392,-23717097472,-25701896192,2
256,163093,1531.929,581.2218,358.1298,0.7876,0.9904,0.6698,1.6229,0.8733,0.784,0.0036,0.0022,0.9976,98.7675,91.2506,99.879,29.5767,25.4717,28.5671,-0.2066,0.191,0.2628,2.4353,3.7608,2.7967,-16340675584,-13530089472,-16607783936,2
257,146923,1447.576,534.4625,351.8184,0.7528,0.9827,0.7877,1.5191,0.8811,0.8092,0.0036,0.0024,0.9949,106.2999,100.6399,105.415,27.4353,23.6344,27.4004,-0.482,0.2283,0.0242,2.8056,2.8178,2.2416,-16844092416,-14728862720,-16565671936,2
258,103302,1190.031,440.8981,299.0482,0.7348,0.9917,0.7662,1.4743,0.9166,0.8226,0.0043,0.0029,0.9976,125.2727,120.7123,110.2522,38.1853,35.425,35.4503,-0.0363,0.2193,0.5226,2.2797,2.3516,2.6996,-17561995264,-16063511552,-13429844992,2
259,146017,1420.212,530.3442,350.9143,0.7498,0.9947,0.7812,1.5113,0.9097,0.813,0.0036,0.0024,0.999,86.8348,84.8184,92.2493,25.6164,24.5587,25.5173,-0.2748,0.6788,0.2708,2.5891,3.5236,3.0671,-10963424256,-10383427584,-12390780928,2
260,137515,1405.913,499.2482,351.661,0.7098,0.9814,0.757,1.4197,0.8743,0.8381,0.0036,0.0026,0.9973,118.0307,116.4183,116.4908,32.6033,29.0659,32.3829,-0.2312,0.0178,-0.0713,2.5851,2.3997,2.2439,-20101292032,-19183765504,-19555231744,2
261,114987,1249.179,455.7418,321.8139,0.7081,0.9915,0.7675,1.4162,0.926,0.8396,0.004,0.0028,0.9982,107.3572,97.9051,102.4415,27.3645,20.8958,22.1535,-0.9381,-0.2003,0.0992,3.1671,5.2429,3.7437,-13440612352,-10712332288,-11863322624,2
263,166665,1540.965,583.5817,364.5487,0.7809,0.9902,0.7839,1.6008,0.882,0.7894,0.0035,0.0022,0.9975,131.7993,133.5096,123.1233,37.6682,35.5831,27.4687,-0.1947,-0.0323,0.2783,2.1123,1.8904,2.4854,-31265529856,-31771285504,-25911873536,2
264,112034,1249.8781,460.5971,310.5606,0.7385,0.9903,0.7699,1.4831,0.9012,0.82,0.0041,0.0028,0.9972,112.0662,106.7013,107.017,29.4154,21.8392,23.0192,-0.5463,-0.0164,-0.056,2.626,3.3154,3.2403,-14472572928,-12571635712,-12722688000,2
265,156087,1497.073,560.2502,356.9697,0.7707,0.9894,0.7376,1.5695,0.8752,0.7957,0.0036,0.0023,0.9937,140.1319,139.8937,121.3883,31.0559,23.6013,24.1142,-1.1076,-0.6134,-0.5087,3.8029,2.6801,2.5482,-32207605760,-31298217984,-23210608640,2
267,151963,1477.179,551.4623,352.008,0.7698,0.9918,0.6908,1.5666,0.8751,0.7976,0.0036,0.0023,0.9967,145.5526,148.0503,127.905,28.1266,18.2415,22.6733,-1.4576,-1.2269,-0.8133,5.1776,5.0023,3.4537,-33599162368,-33943552000,-25104467968,2
268,148267,1455.217,564.1047,334.9029,0.8047,0.9936,0.7871,1.6844,0.8798,0.7702,0.0038,0.0023,0.9993,131.1028,130.5082,116.9128,31.7956,24.0512,24.6278,-0.7973,-0.3313,-0.1311,2.8932,2.1577,2.2139,-26738601984,-25692524544,-20422023168,2
269,169030,1550.98,570.1261,377.9843,0.7486,0.9896,0.7589,1.5083,0.883,0.8137,0.0034,0.0022,0.9987,115.4393,108.9392,114.5476,32.2416,26.7258,24.4651,-0.2126,0.2409,-0.3091,2.5468,2.8966,2.8927,-23575756800,-20315744256,-22285780992,2
270,102142,1223.502,441.7251,296.504,0.7412,0.9863,0.7847,1.4898,0.8574,0.8164,0.0043,0.0029,0.993,137.4242,138.8559,131.8009,31.9179,24.9323,26.7356,-1.0933,-0.8542,-0.5385,3.7325,3.9749,3.0696,-20307597312,-20240594944,-18247018496,2
271,167497,1580.825,606.2756,353.0795,0.8129,0.9827,0.7464,1.7171,0.8423,0.7617,0.0036,0.0021,0.9963,130.2023,127.3372,100.9668,32.4467,26.7424,25.9022,-0.6039,-0.1185,0.2506,2.7519,2.1186,2.4622,-29873858560,-27844012032,-17135848448,2
272,182795,1646.9449,629.4767,374.9311,0.8033,0.9895,0.7597,1.6789,0.8469,0.7664,0.0034,0.0021,0.9862,103.142,94.2675,102.5959,25.0149,21.0093,23.1096,-0.5164,-0.0177,-0.0628,2.8838,3.9862,3.3547,-19421341696,-15742282752,-19013509120,2
273,165248,1592.061,612.0599,344.4518,0.8266,0.9874,0.7768,1.7769,0.8193,0.7494,0.0037,0.0021,0.998,128.4576,131.2182,117.0016,37.1724,34.3982,29.7047,-0.4371,-0.2684,0.0967,2.3264,2.203,2.5016,-29354602496,-30230966272,-23370696704,2
274,131994,1386.02,525.6892,320.6077,0.7925,0.9887,0.7832,1.6397,0.8634,0.7798,0.004,0.0024,0.9972,137.2201,122.8357,116.8634,29.9653,25.8189,24.3902,-0.9543,-0.4569,-0.2824,3.4248,2.5286,2.7084,-25965365248,-20265728000,-18143352832,2
275,145774,1451.353,550.7023,337.9216,0.7896,0.9918,0.7785,1.6297,0.8696,0.7823,0.0038,0.0023,0.9974,145.733,140.5726,121.5095,29.6956,22.7672,27.9595,-1.2607,-0.6872,-0.5669,4.6352,3.1495,2.7713,-32485650432,-29460496384,-22084593664,2
276,142744,1442.903,557.3111,326.9862,0.8098,0.9893,0.7639,1.7044,0.8616,0.765,0.0039,0.0023,0.9973,128.42,124.235,116.8849,30.1771,26.3935,24.3249,-0.5898,-0.2427,-0.2809,2.8129,2.2971,2.6192,-24495747072,-22500065280,-19623020544,2
277,125081,1317.364,484.117,329.4612,0.7327,0.9909,0.7868,1.4694,0.9057,0.8243,0.0039,0.0026,0.9985,121.8147,110.7108,106.0745,31.7995,28.3572,29.4264,-0.683,-0.2543,-0.0395,2.8975,2.7532,2.5135,-19401383936,-15673366528,-14459362304,2
278,194301,1671.417,615.8516,403.3667,0.7557,0.987,0.7669,1.5268,0.874,0.8076,0.0032,0.0021,0.9959,106.7222,95.4996,103.2612,30.7012,26.0391,24.9828,-0.4074,0.0162,0.0759,2.668,2.8191,3.1837,-22908229632,-17749594112,-20701300736,2
279,155595,1507.019,567.617,349.976,0.7873,0.9909,0.7799,1.6219,0.8609,0.7841,0.0036,0.0022,0.9973,148.2013,148.9814,127.5139,32.073,24.6897,23.5272,-1.2116,-1.1152,-0.6176,4.0002,4.1126,3.4344,-36210061312,-35781738496,-25616431104,2
280,162925,1511.9821,564.2595,368.63,0.7571,0.9937,0.7956,1.5307,0.8956,0.8072,0.0035,0.0023,0.9973,138.594,138.2541,114.914,32.4448,27.5736,24.5349,-1.3972,-1.2732,-0.6074,4.4776,4.5211,3.4492,-33025585152,-32267192320,-21627172864,2
281,100471,1186.373,437.8452,292.6243,0.7439,0.9891,0.7662,1.4963,0.897,0.8169,0.0044,0.0029,0.9984,132.33,125.221,118.6024,30.1531,21.354,24.4045,-0.6555,-0.1665,0.2505,3.0952,3.1183,2.5561,-18344544256,-15797143552,-14251051008,2
282,112914,1257.132,471.8904,305.1801,0.7627,0.9897,0.7093,1.5463,0.8978,0.8035,0.0042,0.0027,0.9983,111.3843,108.5332,103.6353,26.7518,21.2803,23.7532,-0.9972,-0.3868,-0.3515,3.2475,3.3438,3.2577,-14192421888,-13097157632,-12033326080,2
284,167858,1528.949,581.9219,368.1325,0.7745,0.9924,0.7733,1.5807,0.9023,0.7944,0.0035,0.0022,0.9977,140.4962,142.3019,121.3455,29.766,21.4184,22.8903,-1.2133,-0.3808,-0.3912,4.7969,2.7521,2.7824,-34654572544,-34695901184,-24823287808,2
285,147204,1447.647,546.0123,343.9355,0.7767,0.993,0.7057,1.5875,0.8827,0.7929,0.0037,0.0023,0.998,145.164,149.3952,127.0337,29.7252,22.0188,28.1649,-1.3996,-1.3516,-0.9884,4.7848,4.688,3.3308,-32536786944,-33815445504,-24476739584,2
286,110930,1244.495,440.5929,321.4334,0.6839,0.9881,0.7556,1.3707,0.9001,0.853,0.004,0.0029,0.9973,140.6417,144.2048,130.3549,30.3873,22.0274,23.8098,-0.9977,-0.6082,-0.1263,3.5521,3.1271,2.3509,-23008167936,-23627732992,-19159949312,2
287,155520,1496.624,567.7551,349.5084,0.7881,0.987,0.7162,1.6244,0.8725,0.7838,0.0037,0.0022,0.9979,107.7497,101.7451,106.1632,27.5655,22.2895,24.4456,-0.512,-0.0913,-0.1985,2.5916,3.2248,2.815,-18345455616,-15827006464,-17494286336,2
288,149646,1468.194,570.3056,335.8156,0.8083,0.9912,0.7818,1.6983,0.8724,0.7654,0.0038,0.0022,0.9949,141.4013,144.9038,125.9421,35.062,26.8986,28.4307,-1.0,-0.688,-0.3366,3.3721,2.971,2.4352,-31966009344,-32661825536,-24480458752,2
289,154497,1491.624,579.3937,340.1177,0.8096,0.9934,0.7546,1.7035,0.8726,0.7655,0.0038,0.0022,0.9982,138.4197,139.8263,112.4425,34.6755,28.9496,26.7472,-0.7722,-0.4922,-0.3561,3.0111,2.3353,2.4409,-31546406912,-31502854144,-19815661568,2
290,162849,1592.699,624.2347,333.1545,0.8457,0.9847,0.745,1.8737,0.8067,0.7295,0.0038,0.002,0.997,99.3345,99.4131,98.0964,30.6494,29.684,22.893,0.0988,0.1479,0.366,1.9809,2.0745,3.4237,-16642662400,-16554817536,-15414438912,2
291,192953,1681.762,665.5488,372.4787,0.8287,0.9926,0.7623,1.7868,0.8573,0.7447,0.0034,0.0019,0.991,117.6504,115.9168,114.8585,29.8148,24.6431,27.6621,-0.3425,0.5291,0.293,3.1966,3.3343,2.8265,-27600273408,-26116403200,-25997262848,2
292,132721,1397.782,522.2059,324.7898,0.7831,0.9877,0.7197,1.6078,0.8536,0.7872,0.0039,0.0024,0.9963,128.7902,112.6047,109.1306,27.2722,22.2289,21.8368,-1.0212,-0.4644,-0.2971,3.5358,3.3741,3.5904,-22627620864,-16710221824,-15614217216,2
293,144815,1432.645,530.4765,348.3135,0.7542,0.9923,0.7378,1.523,0.8866,0.8095,0.0037,0.0024,0.9979,154.0656,153.903,141.1264,30.7624,23.6363,25.0,-1.2988,-0.7564,-0.5594,4.4744,2.9591,2.7645,-36393275392,-35600490496,-29711974400,2
294,142955,1454.557,558.9067,326.4683,0.8117,0.9876,0.7504,1.712,0.8491,0.7633,0.0039,0.0023,0.9975,140.7593,142.7711,127.7278,34.2505,27.8082,24.6304,-0.8908,-0.5913,-0.0412,3.0693,2.5545,2.8724,-30155466752,-30331496448,-23721494528,2
295,125374,1320.2679,492.9375,324.2897,0.7531,0.9935,0.7258,1.5201,0.9038,0.8105,0.0039,0.0026,0.9986,129.5031,125.5865,108.7054,37.1497,34.5642,31.675,-0.5059,-0.0671,-0.0164,2.5959,2.1386,2.1907,-22630578176,-21004429312,-15445172224,2
296,160709,1508.494,561.2164,366.1832,0.7578,0.9892,0.7876,1.5326,0.8875,0.806,0.0035,0.0023,0.9957,148.3164,150.2576,130.4827,31.9677,23.3397,24.4435,-1.1803,-0.742,-0.2616,4.1403,3.0082,2.6433,-37447786496,-37505753088,-27876096000,2
297,204508,1704.656,612.2499,429.9135,0.712,0.9841,0.775,1.4241,0.8844,0.8335,0.003,0.0021,0.9893,86.7197,82.294,95.467,32.0025,28.227,29.6899,0.765,1.1135,0.6239,3.5259,4.2019,3.4149,-16249767936,-14173490176,-19193047040,2
298,162728,1511.626,568.4935,365.8966,0.7653,0.9932,0.8158,1.5537,0.8949,0.8007,0.0035,0.0022,0.9961,145.6967,147.2663,121.0193,35.9217,30.2364,29.3607,-1.2989,-0.8785,-0.5976,4.0863,3.1285,2.8413,-37080555520,-37146513408,-24608387072,2
300,135777,1436.8719,554.0663,317.0632,0.8201,0.9818,0.7463,1.7475,0.8264,0.7504,0.0041,0.0023,0.9841,144.4103,147.6186,133.8505,38.2381,29.5822,29.532,-1.1659,-1.1672,-0.7623,3.3571,3.8939,2.7341,-30679252992,-31076628480,-25321754624,2
301,152960,1476.855,548.2127,358.0435,0.7573,0.9893,0.7532,1.5311,0.8813,0.805,0.0036,0.0023,0.9922,140.3079,145.715,120.8575,36.3946,31.4587,32.1839,-0.7738,-0.571,-0.2494,2.8307,2.4455,2.203,-32349526016,-34305236992,-23407439872,2
302,159858,1503.392,560.9233,364.1994,0.7605,0.9875,0.8037,1.5402,0.8888,0.8043,0.0035,0.0023,0.9963,117.0464,115.5217,110.4324,30.8156,26.6509,28.0967,-0.5792,-0.1402,-0.2611,2.9403,2.545,2.3726,-22739851264,-21678555136,-19899525120,2
303,186236,1628.151,615.6091,385.9771,0.779,0.9896,0.6839,1.5949,0.8828,0.791,0.0033,0.0021,0.9979,107.021,100.7121,108.8448,31.1978,25.5311,24.9414,-0.312,0.1155,0.1071,2.4252,2.5213,2.5376,-22155165696,-18908143616,-22129031168,2
304,158157,1510.033,591.0096,340.9958,0.8168,0.9947,0.7892,1.7332,0.8716,0.7593,0.0037,0.0022,0.9992,126.866,121.1181,116.2913,33.2748,26.8473,24.9182,-0.5511,-0.3076,-0.587,2.6119,2.8771,3.2298,-26854944768,-23685324800,-21562945536,2
305,145733,1461.642,570.0002,326.5131,0.8197,0.9898,0.794,1.7457,0.8572,0.7557,0.0039,0.0022,0.997,115.449,112.8717,109.3377,30.1541,28.1161,25.0016,-0.0069,0.2952,0.132,2.5233,2.2842,2.5747,-20099866624,-18987509760,-17485762560,2
306,151209,1482.381,544.0471,356.7963,0.7549,0.9842,0.7315,1.5248,0.8647,0.8065,0.0036,0.0024,0.9918,83.2987,75.0434,86.3073,29.4053,27.3335,28.8205,0.4474,1.0156,0.649,2.8051,4.316,3.6684,-10835238912,-8688261120,-11549764608,2
308,170267,1617.582,614.0543,354.0693,0.817,0.983,0.7196,1.7343,0.8177,0.7583,0.0036,0.0021,0.9971,107.0208,100.1189,110.3781,34.8653,30.7398,30.6285,-0.0775,0.0768,-0.2409,2.001,2.1731,2.649,-20769906688,-17685381120,-21484394496,2
309,166212,1553.136,571.5416,373.4686,0.757,0.9845,0.6771,1.5304,0.8659,0.8049,0.0034,0.0022,0.9914,132.9693,133.5494,125.4424,36.0779,28.8753,25.3151,-0.5856,-0.3748,-0.2424,2.5509,2.5038,2.6465,-31475689472,-30780651520,-26618515456,2
310,143168,1438.64,522.2192,350.9828,0.7405,0.9856,0.7836,1.4879,0.8693,0.8176,0.0036,0.0025,0.9945,152.3455,150.0145,125.333,34.03,28.8981,30.6818,-1.2669,-0.9577,-0.3983,4.0834,3.5771,2.3895,-35526877184,-33827332096,-23423404032,2
311,199707,1711.678,663.8049,384.2429,0.8154,0.9924,0.7172,1.7276,0.8566,0.7596,0.0033,0.0019,0.9969,139.1584,142.896,135.0905,35.9152,33.1582,30.818,-0.7091,-0.7655,-0.7426,2.4812,2.6765,2.7931,-41450606592,-43275087872,-38162923520,2
312,162404,1544.915,608.9265,340.2279,0.8293,0.9935,0.7684,1.7898,0.8551,0.7468,0.0037,0.0021,0.9981,122.1667,113.1837,109.5339,40.9354,36.8258,32.5798,-0.6827,-0.6001,-0.5187,2.3852,2.371,2.3435,-26668843008,-22380625920,-20412338176,2
313,174168,1574.934,587.6588,378.6228,0.7648,0.991,0.7985,1.5521,0.8824,0.8013,0.0034,0.0022,0.9967,113.6092,108.4231,114.5306,38.0915,33.9242,34.2779,-0.4445,-0.3806,-0.111,2.2814,2.5423,2.4968,-24390127616,-21642842112,-24203325440,2
314,143409,1442.124,532.1603,345.7256,0.7602,0.9857,0.7043,1.5393,0.8665,0.803,0.0037,0.0024,0.9925,131.6851,131.5246,123.3686,27.3193,21.1407,26.0132,-1.0524,-0.3928,-0.2718,4.2144,3.3318,2.7361,-25619701760,-25022607360,-22239576064,2
316,151173,1433.1801,493.1908,390.8281,0.6099,0.9886,0.7972,1.2619,0.9249,0.8896,0.0033,0.0026,0.9986,102.9134,99.9012,107.7734,34.668,29.9455,30.3418,-0.0277,0.2367,0.1609,2.1517,2.4594,2.358,-17058483200,-15549703168,-18155364352,2
317,150399,1482.847,570.9537,336.8778,0.8074,0.9878,0.7694,1.6948,0.8595,0.7664,0.0038,0.0022,0.9956,142.2562,143.0105,120.6156,34.4488,29.4381,27.5631,-0.8345,-0.5661,-0.6636,3.0465,2.466,2.6738,-32452358144,-32203806720,-22396153856,2
318,163973,1515.802,542.8138,386.6868,0.7018,0.9848,0.7216,1.4038,0.8968,0.8418,0.0033,0.0024,0.9947,110.4333,96.1057,101.3019,26.3694,22.7434,24.0944,-0.4765,0.2827,0.1475,2.7664,3.3375,3.081,-20217860096,-14859089920,-16706228224,2
319,107981,1239.067,447.3554,308.2379,0.7247,0.9899,0.7703,1.4513,0.8838,0.8289,0.0041,0.0029,0.9971,134.5973,127.6462,119.7145,39.3168,33.514,34.0395,-0.468,-0.4318,-0.2534,2.0904,2.1685,2.1099,-21296152576,-18590947328,-16373058560,2
320,180788,1605.7841,604.344,381.6076,0.7754,0.9922,0.785,1.5837,0.8811,0.7939,0.0033,0.0021,0.9981,142.2404,141.6842,125.2375,36.0145,31.8832,27.963,-0.8693,-0.2869,-0.5789,3.1145,2.0808,2.4686,-39250636800,-38316040192,-29166972928,2
321,137914,1475.6281,570.014,311.584,0.8374,0.9835,0.6089,1.8294,0.7959,0.7351,0.0041,0.0023,0.9887,143.5222,146.1507,133.2268,40.0318,31.0159,29.4333,-1.056,-1.2398,-0.8692,3.0088,4.0293,3.2276,-31021238272,-31060172800,-25458591744,2
322,148517,1463.246,549.3091,346.6294,0.7758,0.9918,0.6992,1.5847,0.8717,0.7916,0.0037,0.0023,0.9931,139.9318,144.4145,118.8965,33.5968,24.5406,28.1336,-0.8158,-0.3572,-0.0956,3.1494,2.4435,2.1092,-30869807104,-31957917696,-21535674368,2
323,179732,1645.203,647.8385,354.4339,0.8371,0.9898,0.7411,1.8278,0.8344,0.7384,0.0036,0.002,0.9966,93.6029,87.136,95.4295,24.7571,22.5976,21.9017,0.0181,0.8094,0.6843,2.6476,4.6123,4.4744,-15622845440,-13297488896,-15972971520,2
324,169147,1569.068,587.965,367.5672,0.7805,0.9923,0.7039,1.5996,0.8634,0.7893,0.0035,0.0022,0.9965,116.9435,113.0817,107.3184,27.2325,23.2467,24.3618,-0.6918,-0.1221,-0.1205,3.1199,2.985,3.2159,-23582701568,-21588574208,-19453181952,2
325,153048,1523.577,607.1192,321.9273,0.8478,0.9922,0.725,1.8859,0.8285,0.7271,0.004,0.0021,0.997,122.6003,116.1673,120.8722,28.2341,23.3603,23.2925,-0.7821,-0.5612,-0.6737,3.2017,3.9588,3.7213,-23645988864,-20677664768,-22478458880,2
326,154245,1503.598,546.4366,361.8018,0.7494,0.9883,0.742,1.5103,0.8573,0.811,0.0035,0.0023,0.9934,96.4055,93.7044,92.7976,31.6154,30.2844,32.9301,-0.0573,0.3228,0.3657,2.4202,2.9624,3.0045,-14960579584,-14010061824,-14057613312,2
327,144207,1455.647,561.3004,328.1891,0.8113,0.9906,0.7559,1.7103,0.8552,0.7634,0.0039,0.0023,0.9967,133.4077,128.6071,117.0294,33.0429,26.2763,26.2053,-0.867,-0.422,-0.1656,3.277,2.7337,2.4833,-27102058496,-24426137600,-20047519744,2
328,172379,1647.4351,621.3907,354.2521,0.8216,0.9804,0.6888,1.7541,0.7981,0.7539,0.0036,0.0021,0.9971,102.4928,90.2735,105.8421,29.4885,25.7219,25.3809,-0.0485,0.4872,0.0707,2.3748,3.822,3.4777,-18598156288,-14025698304,-19371372544,2
329,112819,1255.413,476.7512,301.7341,0.7742,0.9933,0.7677,1.58,0.8995,0.795,0.0042,0.0027,0.9986,133.4311,135.4254,120.672,34.7921,29.2846,32.1839,-0.3021,0.0545,0.4712,2.5769,2.4183,2.2998,-21393035264,-21550960640,-17226102784,2
330,201551,1724.1591,673.0964,382.4955,0.8228,0.9917,0.7886,1.7598,0.852,0.7526,0.0033,0.0019,0.9968,141.0568,139.7514,131.0454,29.1274,24.7309,21.7775,-1.0971,-0.4826,-0.5788,4.043,2.7163,3.3124,-41868271616,-40468987904,-34961629184,2
331,143957,1452.262,523.1368,352.3305,0.7392,0.9844,0.7746,1.4848,0.8577,0.8184,0.0036,0.0024,0.9944,154.6815,150.4548,125.8076,34.9626,29.1245,30.816,-1.3092,-0.8756,-0.3565,4.1478,3.4278,2.4134,-36987568128,-34249711616,-23752157184,2
333,175894,1587.17,591.8867,379.7294,0.7671,0.9932,0.7506,1.5587,0.8774,0.7995,0.0034,0.0022,0.9964,100.727,90.2282,95.3538,29.1361,24.8822,27.7008,-0.2323,0.4332,0.3049,2.7883,3.9974,3.2716,-18274963456,-14205623296,-16215183360,2
334,167208,1579.176,604.1566,353.461,0.811,0.9907,0.6696,1.7093,0.8426,0.7637,0.0036,0.0021,0.997,140.124,127.7612,123.9796,33.2891,21.9735,25.6632,-1.2833,-0.7079,-0.588,4.2584,3.787,2.7344,-34792914944,-27492392960,-26157553664,2
335,101772,1190.234,437.8928,296.5733,0.7357,0.9921,0.7604,1.4765,0.9028,0.8221,0.0043,0.0029,0.9978,131.3954,133.3802,119.1755,37.2765,29.9762,30.8305,-0.7477,-0.573,-0.4697,2.489,2.294,2.265,-18920585216,-18878216192,-15024681984,2
336,145435,1468.962,529.6494,351.6841,0.7477,0.9834,0.7516,1.506,0.8469,0.8125,0.0036,0.0024,0.9941,122.5559,117.5275,111.1964,29.7007,25.5538,25.7403,-0.5277,0.0919,0.2684,3.5449,3.8267,3.3664,-22610163712,-20339697664,-18142521344,2
337,146017,1440.998,536.7607,346.9765,0.763,0.9883,0.7445,1.547,0.8837,0.8033,0.0037,0.0024,0.9982,120.0754,115.3086,118.904,33.3115,28.6767,28.2241,-0.2223,0.274,0.2238,2.5621,2.6921,2.9658,-22185627648,-19937153024,-21190301696,2
